,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'lr': 0.0, 'gamma': 0.96}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'lr': 0.0, 'gamma': 0.95}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'lr': 0.0, 'gamma': 0.93}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'lr': 0.0, 'gamma': 0.91}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'lr': 0.0, 'gamma': 0.93}}"
5,1,GPEI,5,COMPLETED,"{'5_0': {'lr': 0.0, 'gamma': 0.9}}"
6,1,GPEI,6,COMPLETED,"{'6_0': {'lr': 0.0, 'gamma': 0.9}}"
7,1,GPEI,7,COMPLETED,"{'7_0': {'lr': 0.0, 'gamma': 0.96}}"
8,1,GPEI,8,COMPLETED,"{'8_0': {'lr': 0.0, 'gamma': 0.93}}"
9,1,GPEI,9,COMPLETED,"{'9_0': {'lr': 0.0, 'gamma': 0.9}}"
10,1,GPEI,10,COMPLETED,"{'10_0': {'lr': 0.0, 'gamma': 0.92}}"
11,1,GPEI,11,COMPLETED,"{'11_0': {'lr': 0.0, 'gamma': 0.94}}"
12,1,GPEI,12,COMPLETED,"{'12_0': {'lr': 0.0, 'gamma': 0.96}}"
13,1,GPEI,13,COMPLETED,"{'13_0': {'lr': 0.0, 'gamma': 0.9}}"
14,1,GPEI,14,COMPLETED,"{'14_0': {'lr': 0.0, 'gamma': 0.92}}"
15,1,GPEI,15,COMPLETED,"{'15_0': {'lr': 0.0, 'gamma': 0.95}}"
16,1,GPEI,16,COMPLETED,"{'16_0': {'lr': 0.0, 'gamma': 0.96}}"
17,1,GPEI,17,COMPLETED,"{'17_0': {'lr': 0.0, 'gamma': 0.9}}"
18,1,GPEI,18,COMPLETED,"{'18_0': {'lr': 0.0, 'gamma': 0.93}}"
19,1,GPEI,19,COMPLETED,"{'19_0': {'lr': 0.0, 'gamma': 0.92}}"
20,1,GPEI,20,COMPLETED,"{'20_0': {'lr': 0.0, 'gamma': 0.92}}"
21,1,GPEI,21,COMPLETED,"{'21_0': {'lr': 0.0, 'gamma': 0.91}}"
22,1,GPEI,22,COMPLETED,"{'22_0': {'lr': 0.0, 'gamma': 0.94}}"
23,1,GPEI,23,COMPLETED,"{'23_0': {'lr': 0.0, 'gamma': 0.95}}"
24,1,GPEI,24,COMPLETED,"{'24_0': {'lr': 0.0, 'gamma': 0.95}}"
25,1,GPEI,25,COMPLETED,"{'25_0': {'lr': 0.0, 'gamma': 0.9}}"
26,1,GPEI,26,COMPLETED,"{'26_0': {'lr': 0.0, 'gamma': 0.96}}"
27,1,GPEI,27,COMPLETED,"{'27_0': {'lr': 0.0, 'gamma': 0.92}}"
28,1,GPEI,28,COMPLETED,"{'28_0': {'lr': 0.0, 'gamma': 0.9}}"
29,1,GPEI,29,COMPLETED,"{'29_0': {'lr': 0.0, 'gamma': 0.93}}"
30,1,GPEI,30,COMPLETED,"{'30_0': {'lr': 0.0, 'gamma': 0.95}}"
