,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'mstart': 21, 'mend': 65, 'mlower': 88.35}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'mstart': 0, 'mend': 65, 'mlower': 78.61}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'mstart': 5, 'mend': 40, 'mlower': 84.38}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'mstart': 23, 'mend': 44, 'mlower': 89.21}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'mstart': 18, 'mend': 47, 'mlower': 79.74}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'mstart': 18, 'mend': 58, 'mlower': 72.01}}"
6,1,GPEI,6,COMPLETED,"{'6_0': {'mstart': 25, 'mend': 40, 'mlower': 72.6}}"
7,1,GPEI,7,COMPLETED,"{'7_0': {'mstart': 0, 'mend': 70, 'mlower': 70.0}}"
8,1,GPEI,8,COMPLETED,"{'8_0': {'mstart': 0, 'mend': 70, 'mlower': 90.0}}"
9,1,GPEI,9,COMPLETED,"{'9_0': {'mstart': 0, 'mend': 48, 'mlower': 70.0}}"
10,1,GPEI,10,COMPLETED,"{'10_0': {'mstart': 25, 'mend': 70, 'mlower': 70.0}}"
11,1,GPEI,11,COMPLETED,"{'11_0': {'mstart': 11, 'mend': 40, 'mlower': 70.0}}"
12,1,GPEI,12,COMPLETED,"{'12_0': {'mstart': 0, 'mend': 59, 'mlower': 72.82}}"
13,1,GPEI,13,COMPLETED,"{'13_0': {'mstart': 9, 'mend': 70, 'mlower': 81.28}}"
14,1,GPEI,14,COMPLETED,"{'14_0': {'mstart': 0, 'mend': 40, 'mlower': 70.0}}"
15,1,GPEI,15,COMPLETED,"{'15_0': {'mstart': 0, 'mend': 54, 'mlower': 90.0}}"
16,1,GPEI,16,COMPLETED,"{'16_0': {'mstart': 25, 'mend': 57, 'mlower': 81.43}}"
17,1,GPEI,17,COMPLETED,"{'17_0': {'mstart': 5, 'mend': 40, 'mlower': 73.94}}"
18,1,GPEI,18,COMPLETED,"{'18_0': {'mstart': 18, 'mend': 40, 'mlower': 70.0}}"
19,1,GPEI,19,COMPLETED,"{'19_0': {'mstart': 0, 'mend': 55, 'mlower': 78.67}}"
20,1,GPEI,20,COMPLETED,"{'20_0': {'mstart': 25, 'mend': 40, 'mlower': 81.76}}"
21,1,GPEI,21,COMPLETED,"{'21_0': {'mstart': 8, 'mend': 56, 'mlower': 70.0}}"
22,1,GPEI,22,COMPLETED,"{'22_0': {'mstart': 0, 'mend': 47, 'mlower': 77.16}}"
23,1,GPEI,23,COMPLETED,"{'23_0': {'mstart': 0, 'mend': 59, 'mlower': 84.01}}"
24,1,GPEI,24,COMPLETED,"{'24_0': {'mstart': 0, 'mend': 70, 'mlower': 74.88}}"
25,1,GPEI,25,COMPLETED,"{'25_0': {'mstart': 4, 'mend': 70, 'mlower': 77.2}}"
26,1,GPEI,26,COMPLETED,"{'26_0': {'mstart': 10, 'mend': 70, 'mlower': 70.34}}"
27,1,GPEI,27,COMPLETED,"{'27_0': {'mstart': 13, 'mend': 54, 'mlower': 90.0}}"
28,1,GPEI,28,COMPLETED,"{'28_0': {'mstart': 25, 'mend': 49, 'mlower': 70.0}}"
29,1,GPEI,29,COMPLETED,"{'29_0': {'mstart': 0, 'mend': 65, 'mlower': 72.9}}"
30,1,GPEI,30,COMPLETED,"{'30_0': {'mstart': 14, 'mend': 40, 'mlower': 90.0}}"
31,1,GPEI,31,COMPLETED,"{'31_0': {'mstart': 5, 'mend': 62, 'mlower': 70.0}}"
32,1,GPEI,32,COMPLETED,"{'32_0': {'mstart': 25, 'mend': 70, 'mlower': 90.0}}"
33,1,GPEI,33,COMPLETED,"{'33_0': {'mstart': 0, 'mend': 70, 'mlower': 81.36}}"
34,1,GPEI,34,COMPLETED,"{'34_0': {'mstart': 25, 'mend': 70, 'mlower': 78.26}}"
35,1,GPEI,35,COMPLETED,"{'35_0': {'mstart': 11, 'mend': 40, 'mlower': 76.97}}"
36,1,GPEI,36,COMPLETED,"{'36_0': {'mstart': 6, 'mend': 64, 'mlower': 75.64}}"
37,1,GPEI,37,COMPLETED,"{'37_0': {'mstart': 10, 'mend': 70, 'mlower': 90.0}}"
38,1,GPEI,38,COMPLETED,"{'38_0': {'mstart': 17, 'mend': 70, 'mlower': 81.74}}"
